CountDense,CountActivation,CountDropout,CountFlatten,CountInputLayer,CountConv1D,CountConv2D,CountConv3D,CountMaxPooling1D,CountMaxPooling2D,CountMaxPooling3D,CountSimpleRNN,CountGRU,CountLSTM,CountEmbedding,CountBatchNormalization,CountLayerNormalization,Countsoftmax,Countrelu,Counttanh,Countsigmoid,Counthard_sigmoid,Countexponential,Countlinear,CountL1,CountL2,CountL1L2,Model_File,Total_Params,Trainable_Params,Num_Neurons,Max_Neurons,Min_Neurons,Max_Dimension_Input,Min_Dimension_Input,Max_Dimension_Output,Min_Dimension_Output,Max_Input_Output_Dimension_Mismatch_Count,Max_Dropout_Rate,Min_Dropout_Rate,Number_of_Layers,Layer_Diversity,Activation_Presence,Avg_Params_Per_Layer,Input_Output_Mismatch_Count_Layer
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2364_66840108_correct.h5,25933,25933,3,196,1,196,2,196,1,0,0.0,0.0,3,1,1.0,8644.333333333334,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1486_31556268_correct.h5,17,17,2,4,1,4,1,4,1,0,0.0,0.0,4,2,1.0,4.25,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2621_31556268_correct.h5,17,17,2,4,1,4,1,4,1,0,0.0,0.0,4,2,1.0,4.25,0
3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1531_31880720_correct.h5,5217,5217,3,32,1,128,32,32,1,1,0.1,0.1,5,2,0.6,1043.4,0
2,4,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,4,0,0,0,1681_37624102_correct.h5,9447138,9447138,4,128,2,73728,1,73728,2,0,0.0,0.0,10,5,0.8,944713.8,0
3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1726_44164749_correct.h5,3112211,3112211,3,5000,11,5000,20,5000,11,0,0.1,0.1,5,2,0.6,622442.2,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1747_46642627_correct.h5,2701,2701,3,50,1,50,1,50,1,0,0.0,0.0,3,1,1.0,900.3333333333334,0
3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1707_44164749_correct.h5,3112211,3112211,3,5000,11,5000,20,5000,11,0,0.1,0.1,5,2,0.6,622442.2,0
3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,3188_70406438_correct.h5,1042811,1042811,4,64,3,300,4,300,3,0,0.4,0.4,9,4,0.4444444444444444,115867.88888888889,0
2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,733_70178206_correct.h5,3938570,3938570,3,128,10,30752,3,30752,10,0,0.0,0.0,5,4,0.6,787714.0,0
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2064_52800582_correct.h5,2701,2701,3,50,1,50,1,50,1,0,0.0,0.0,5,2,1.0,540.2,0
3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,3190_70406438_correct.h5,1042811,1042811,4,64,3,300,4,300,3,0,0.4,0.4,9,4,0.4444444444444444,115867.88888888889,0
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3260_70848143_correct.h5,38785,38785,3,64,1,64,3,64,1,0,0.0,0.0,3,1,1.0,12928.333333333334,0
2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2303_66468006_correct.h5,407050,407050,2,512,10,784,28,784,10,0,0.2,0.2,4,3,0.5,101762.5,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1209_73457069_correct.h5,10451,10451,2,50,1,10000,1,50,1,1,0.0,0.0,2,2,1.0,5225.5,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1520_31556268_correct.h5,17,17,2,4,1,4,1,4,1,0,0.0,0.0,4,2,1.0,4.25,0
